Gene	1.D3_Contro	2.D3_Treate	3.D6_Contro	4.D6_Treate	5.D10_Contr	6.D10_Treat
Psmd7	11727	11515	10022	9579	9147	9650
Psmd6	7078	7283	6614	7127	7559	8101
Psmd1	22190	22071	18907	17054	16439	17150
Psmd3	12772	12643	11290	10501	8845	9245
Psmd2	14364	14495	12801	11785	12184	12487
BC117090	0	0	0	0	0	0
Ifrd2	2328	2666	1812	2332	2262	3912
Gm5431	2	3	2	2	0	0
Gm5434	117	136	125	175	109	142
Slc25a53	256	288	229	304	206	186
Slc25a51	8167	7645	7857	6929	6174	6033
Gm7361	0	0	0	0	0	0
Itpripl2	18505	17262	17228	15181	10845	11689
Gm7367	0	0	0	0	0	0
Slc25a54	14	13	9	3	7	1
Tmem201	1310	1417	1153	991	850	959
Tmem202	47	45	86	112	94	70
Tmem203	1077	998	1046	1248	1356	1070
Tmem204	140	95	160	101	366	232
Tmem205	738	662	840	1050	1428	1159
Tmem206	529	592	577	677	556	691
Tmem207	0	0	0	0	0	0
Tmem208	1666	1781	1917	2296	2140	2494
Tmem209	8567	8966	6375	5806	4819	6065
Atp5f1	5254	5282	4357	4848	5199	5089
Zfp446	567	630	505	585	412	454
Zfp444	989	911	903	840	983	645
Zfp445	12162	11567	9842	8778	7817	7699
Zfp442	316	323	329	283	410	273
Mras	4535	4305	3526	3760	2917	3447
Mrap	0	8	2	6	0	2
Zfp449	1319	1343	1342	1060	1303	1108
Lce1a1	0	0	0	0	0	0
Lce1a2	0	0	0	0	0	0
Gm21708	0	0	0	0	0	0
Klra13-ps	0	0	0	0	0	0
Vmn1r176	0	0	0	0	0	0
Vmn1r177	0	0	0	0	0	0
Vmn1r174	0	0	0	0	0	0
Vmn1r175	0	0	0	0	0	0
Vmn1r172	0	0	0	0	0	0
Vmn1r173	0	0	0	0	0	0
Vmn1r170	0	0	0	0	0	0
Vmn1r171	0	0	0	0	0	0
Rfc5	1328	1423	862	586	1195	1832
Rfc4	1884	2041	1216	980	1680	2390
Rfc1	8498	8659	6778	5706	7146	9048
Rfc3	2795	2683	1597	1255	2192	3039
Rfc2	3827	3688	2657	2198	3874	5332
Smap1	3144	3151	2962	2962	2727	2562
Smap2	3819	3491	3379	3417	2961	2920
2310045N01Rik	1696	1599	1820	1998	2437	2295
Uhrf1bp1l	5417	5045	4496	4689	2831	2783
Rimkla	0	4	0	0	0	0
Defb33	0	0	0	0	0	0
Defb30	0	0	0	0	0	0
Rimklb	0	4	0	0	0	0
Gm4477	0	0	0	0	0	0
Defb37	0	0	0	0	0	2
Defb34	0	0	2	0	0	0
Defb35	0	0	0	0	0	0
Defb38	0	0	0	0	0	0
Defb39	0	0	0	0	0	0
Snhg14	0	0	0	0	0	0
Snhg17	2974	2993	2371	2665	1737	1766
Pdgfd	273	362	260	391	354	640
Gm6182	0	0	0	0	0	0
Gm12886	0	0	0	0	0	0
Gm12887	0	0	0	0	0	0
Gm12888	0	0	0	0	0	0
U90926	0	0	2	0	0	0
Lelp1	0	0	0	0	0	0
A730036I17Rik	1	0	0	0	0	0
Abhd8	3107	2676	2602	1728	3304	3052
Abhd2	5556	4439	4909	2465	3071	1953
Abhd3	20	44	16	53	31	20
Abhd1	16	17	17	13	8	10
Abhd6	44	133	35	79	32	64
Abhd4	5762	5261	6571	5593	5660	4148
D830032E09Rik	0	0	0	0	0	0
Mdc1	13963	14140	9304	6827	8369	10586
Mlxip	5121	5263	4758	4088	3521	3857
Il5ra	0	0	0	0	0	0
Dpcd	1834	1710	1668	1495	1819	1706
Usb1	1431	1367	1314	1391	1351	1388
Adcyap1r1	0	2	0	0	0	2
Fech	8321	7386	7371	6314	7170	6574
Gm11517	67	65	56	52	37	48
Mir125b-2	1	0	1	1	0	0
Athl1	3570	3585	4006	3397	5171	4266
4930554G24Rik	0	0	0	0	0	0
Mir125b-1	15	6	5	3	5	4
Gm10324	0	0	0	0	0	0
Bdkrb1	74	66	61	29	57	30
Bdkrb2	4	21	18	35	8	9
Rpl22l1	2090	2331	2718	3235	3547	2935
Igip	425	532	552	523	466	418
Prpsap1	9868	7887	7311	5525	6058	4701
Prpsap2	531	555	508	488	456	340
1700122C19Rik	0	0	0	0	0	0
Fam185a	649	808	602	769	597	576
Napepld	397	504	385	464	455	409
Tpsab1	0	0	0	0	0	0
BC017158	1651	1811	1594	1866	1366	1671
Nlrp4b	0	0	0	0	0	0
Clvs1	76	70	98	63	167	78
Clvs2	0	0	2	2	0	0
0610040F04Rik	4	1	2	9	1	2
Nckap1l	2	1	0	8	2	8
D730001G18Rik	0	0	0	2	0	0
Tex19.1	0	2	0	0	0	0
Tex19.2	0	2	0	0	0	0
Rgr	0	0	0	0	0	0
Cyp2b9	0	0	0	0	0	0
Ube2ql1	0	11	2	27	0	12
Rev1	4355	3968	3589	3160	2790	2898
Rgn	0	4	0	0	0	0
Pgr15l	0	0	0	0	0	0
Mir7036b	4	7	4	7	1	3
Dach1	0	0	0	0	0	1
Dach2	4	2	0	2	0	0
1700001G11Rik	16	7	5	12	14	17
Gfy	0	0	0	0	0	0
Snip1	1823	1632	1618	1394	1469	1705
Gm14827	23	37	11	5	15	6
4922502D21Rik	0	0	0	0	0	0
Olfr1037	0	0	0	0	0	0
Olfr1036	0	0	0	0	0	0
Olfr1034	0	0	0	0	0	0
Olfr1033	0	3	4	2	2	1
Olfr1032	0	0	0	0	0	0
Olfr1031	0	0	0	0	0	0
Olfr1030	0	0	0	0	0	0
Sdc1	12288	10553	12200	9868	10174	9813
Sdc2	49573	46455	54796	52199	37916	37633
Sdc3	53415	53164	45930	43846	40441	62043
Sdc4	7246	8363	8145	10072	8899	11480
Olfr1039	0	0	0	0	0	0
Mapk14	10786	10187	8953	7461	7316	8104
Mapk15	7	3	0	0	2	2
Mapk10	22	18	14	19	12	6
Mapk11	1882	1688	1204	1053	1177	1492
Mapk12	1437	1349	1296	1798	1191	1522
Mapk13	0	8	0	24	0	34
6430573F11Rik	0	0	0	0	0	0
Mir344f	1	0	0	0	0	0
Naa38	1525	1508	1379	1357	1849	1744
Rnase2a	0	0	0	0	0	0
Rnase2b	0	0	0	0	0	0
Naa30	2614	2750	2467	2330	1822	1847
4930440C22Rik	0	0	0	0	0	0
Nkd1	4	10	20	8	16	14
Adam7	0	0	0	0	0	0
Adam4	28	45	12	24	12	23
Nkd2	366	465	817	413	758	261
Adam2	0	0	0	0	0	0
Adam3	0	0	0	0	0	0
Pde1c	7	9	10	61	8	7
Pde1b	186	545	279	886	301	1056
Pde1a	89	170	68	207	63	121
Adam8	178	127	92	71	129	147
Adam9	10627	9722	8583	8545	6219	6257
Serpina1b	0	0	0	0	0	0
Serpina1c	0	0	0	0	0	0
Serpina1a	0	0	0	0	0	0
Serpina1f	0	0	0	0	1	0
Serpina1d	0	0	0	6	2	0
Serpina1e	4	0	2	2	0	0
Dnm1l	11183	10517	9690	8407	8701	8614
4921511C10Rik	2	14	8	0	1	0
Lrcol1	0	1	0	0	2	0
Serpina12	0	8	10	13	22	7
Serpina10	0	4	0	2	1	0
Serpina11	0	3	0	5	2	2
Kif3b	6778	6419	6025	5354	4575	5144
Gm14511	0	0	0	0	0	0
Pde12	1766	1590	1381	1333	1309	1625
Mir721	0	0	0	0	0	1
Kif3c	3518	2287	2627	1480	1916	1194
4930568G15Rik	0	0	0	0	2	0
Ascc2	4404	3859	3469	3469	2737	2912
Mir18b	0	0	0	0	0	0
Glp2r	0	2	0	0	0	0
Kif24	1742	1755	818	413	736	1059
Kif27	18	29	24	6	17	12
Kif23	6771	6229	3537	1682	1599	2998
Kif22	3919	3902	2156	995	1322	2191
Adipoq	2	3	2	0	2	0
4930579H20Rik	0	0	0	0	0	0
Mir188	0	0	0	0	0	0
Mir187	0	0	0	0	0	0
Mir186	36	32	50	36	35	45
Mir185	0	1	1	1	1	0
Mir184	0	0	0	0	0	0
Mir183	1	0	0	0	0	0
Mir182	0	0	0	0	0	0
Gm16532	2	0	0	0	2	4
Stmnd1	18	12	6	13	12	15
Hpca	4	3	3	0	2	1
Kif2a	4487	4307	3650	3432	2659	2763
Kif2c	3909	3664	2044	946	960	1579
Kif2b	0	0	0	0	0	0
Megf10	1722	3365	1264	6060	900	3520
Megf11	75	113	47	42	53	63
4930595D18Rik	8	8	5	2	8	3
Ech1	4319	3805	5087	4488	6228	4198
B930041F14Rik	1177	1077	1452	1212	1360	1140
Sult4a1	0	0	0	0	0	0
Gm17660	0	0	1	0	0	0
Sra1	3998	4161	4488	5688	5492	5765
Oxsr1	4023	4825	3670	7037	3189	6487
Olfr430	0	0	0	0	0	0
Olfr433	0	0	0	0	0	2
Olfr432	0	0	0	0	0	0
Olfr435	0	0	0	0	0	0
Olfr434	0	0	0	0	0	0
Olfr437	0	0	0	0	0	0
Eqtn	8	25	2	10	2	10
Amacr	1680	2699	1803	3543	2201	3702
Tceb1	3992	3697	3144	3036	4044	4096
Olfr913	0	0	0	0	0	0
Tuba8	0	0	0	0	2	0
Acyp2	303	339	299	307	380	347
Kbtbd4	2565	2322	2166	1823	2329	2302
Fam20a	1444	2269	1840	5293	1594	2897
Fam20b	13582	12933	11868	9436	10800	10153
Fam20c	2735	2391	2987	3499	2075	3205
Rbpms2	190	330	173	359	168	302
Spag8	31	34	45	34	33	48
Spag9	28176	26442	27735	29040	25825	24607
Spag6	0	0	0	0	0	0
Spag7	4716	4712	4185	3901	4124	4243
Spag4	256	321	244	322	260	282
Spag5	7043	6573	3448	1712	2058	3497
Spag1	645	585	540	528	568	452
Deb1	805	865	795	1268	954	1205
Nol4l	1205	964	624	377	652	499
1700034I23Rik	2	6	4	4	4	5
4933430N04Rik	0	0	0	0	0	0
Gpc2	2	5	0	4	3	5
Gpc3	10	14	16	65	36	54
Gpc4	10303	10307	10301	12070	6724	6072
Gpc5	0	0	0	0	0	0
Gpc6	7111	6839	4774	4076	3055	3206
Cysrt1	0	2	0	0	0	0
Gpr137b-ps	343	317	293	208	213	161
Prkar2a	7260	6384	5340	4085	4892	6197
Tarbp2	443	436	360	366	292	331
Prkar2b	5219	4019	4601	2177	4752	2795
Nr1h4	122	103	93	190	510	510
Nr1h5	0	2	0	0	0	0
Fn3k	1	14	6	35	13	28
Man1a2	12169	12736	10469	9498	8503	9315
Nr1h3	29	48	51	69	73	49
Znfx1	5323	4824	5074	3602	4889	4384
H6pd	2588	2538	2311	2398	2486	2271
Acbd3	12103	12572	12284	13257	9770	9965
Acbd7	2	0	2	8	5	6
Acbd6	2649	2455	2960	3096	2679	2310
Acbd5	4891	4296	4177	3630	3761	3522
Acbd4	1020	1028	1119	1198	1305	1001
Tacstd2	0	0	0	0	0	0
Fam209	15	14	4	3	2	5
Rslcan18	75	86	103	113	104	96
Gm12409	0	0	0	0	0	0
Rnu73b	34	37	29	37	17	15
8430437L04Rik	0	0	0	0	0	0
Gm16982	109	115	111	62	68	51
Lypla1	7072	6897	6478	6613	7239	6931
Lypla2	2545	2497	2341	2814	2723	2980
Gm13752	0	10	5	32	4	49
Dtnbp1	2243	2251	2252	2570	2272	2478
Olfr981	0	0	0	0	0	0
Olfr980	0	0	0	0	0	0
Olfr983	0	0	0	0	0	0
Enox2	1276	1188	1196	1068	1251	1186
Olfr985	0	0	0	0	0	0
Olfr984	0	0	0	0	0	0
Rrp36	2409	2461	2097	2271	1976	2041
Olfr986	0	0	0	0	0	0
Olfr988	0	0	0	0	0	0
Nr2f6	4014	3400	3364	2678	2864	2834
Nr2f1	2131	1647	1357	685	1050	697
Fam58b	1270	1281	1255	1327	1400	1418
Tmem255a	12	18	7	15	8	2
Nr2f2	5072	3281	3318	1483	2165	1178
Tenm3	24	32	27	59	22	84
Tenm2	0	0	0	4	0	0
Tenm1	0	0	0	0	0	0
Tenm4	30115	33982	35983	35865	27247	21965
Cpsf3l	2285	2099	1836	1902	1710	1963
Ppp1r15a	1968	1758	1243	2443	918	882
Ppp1r15b	18285	18131	16160	14578	8791	8806
Tsn	11255	10817	10556	9884	10194	11047
Gm5662	1	0	0	0	0	0
Ssh2	2870	3145	2516	3156	2033	2768
Ssh3	2025	1717	1746	1879	2131	1743
Tsx	7	4	2	2	0	5
Ssh1	1218	1026	986	806	696	586
Tst	126	182	144	120	176	152
Cinp	2156	2211	2005	1983	2625	3296
1700094J05Rik	11	5	2	2	2	0
Ptprcap	34	37	21	5	16	15
Coa6	1086	1098	911	1028	1401	1435
Hmgcl	2437	2265	2492	2130	2608	2112
Plrg1	4438	5454	4678	5478	5314	5356
Hmgcr	26533	26260	16675	15205	5417	10314
Get4	2976	3021	2762	2742	2531	2961
A230077H06Rik	0	0	0	0	0	0
Cd22	0	0	0	0	0	0
Cd27	31	32	38	28	21	28
Ugt1a9	0	0	0	0	0	0
Ugt1a5	2	0	3	0	0	0
Ugt1a1	0	2	0	0	0	0
Ugt1a2	0	0	0	0	0	0
Gm4532	22	10	50	43	52	49
Palb2	450	365	214	144	320	442
Ldah	3329	3410	2845	2673	3076	3016
Gm7134	49	38	23	13	9	20
Chpf	11676	10242	11405	12552	11027	11561
Psmb11	3	1	2	2	0	0
Psmb10	1806	1406	1531	862	2156	1258
H2-T23	398	327	464	416	924	488
H2-T22	39	34	33	33	72	31
H2-T24	473	554	489	491	309	323
Tmprss11e	0	0	0	0	0	0
Lyz2	626	1061	869	1626	1541	1047
Lyz1	1	7	0	4	7	4
Dennd5b	1773	2616	1379	1920	1012	1506
Dennd5a	13652	13704	13430	11542	9668	9301
Ppp1r9a	0	2	1	0	0	2
Ppp1r9b	11352	10083	10473	8124	8211	8351
Chp1	9008	8805	8724	8504	8848	8828
Chp2	0	0	0	0	0	0
Tubb2a-ps2	186	191	238	140	229	148
Mir1954	1	0	0	0	0	0
Ugt2a3	0	0	0	0	0	0
Ugt2a2	0	0	0	0	0	0
Ugt2a1	0	0	0	0	0	0
Clec1a	0	0	0	0	0	0
Clec1b	0	0	0	0	0	0
Synpo2l	28	45	50	57	24	112
Gm9958	55	86	124	103	126	108
6430503K07Rik	0	0	0	0	0	0
C130083M11Rik	840	806	753	602	520	496
Vmn2r113	0	0	0	0	0	0
Vmn2r112	0	0	0	0	0	0
Vmn2r111	0	0	0	0	0	0
Vmn2r110	0	0	0	0	0	0
Vmn2r117	0	0	0	0	0	0
Vmn2r116	0	0	0	0	0	0
Vmn2r115	0	0	0	0	0	0
Vmn2r114	0	0	0	0	0	0
Vmn2r118	0	0	0	0	0	0
Lst1	11	18	11	9	48	28
Myeov2	2646	2630	2814	3136	4458	4157
9030625G05Rik	0	0	0	0	0	0
Cyp11a1	0	0	0	5	0	0
Ehmt1	7715	7126	6534	5558	4849	4869
Ehmt2	20432	18035	18031	14374	15427	13340
D6Ertd474e	7	13	2	4	2	0
Vmn2r9	0	0	0	0	0	0
Vmn2r8	0	0	0	0	0	0
Vmn2r7	0	0	0	0	0	0
Vmn2r6	0	0	0	0	0	0
Vmn2r5	0	0	0	0	0	0
Vmn2r4	0	0	0	0	0	0
Vmn2r3	0	0	0	0	0	0
Vmn2r2	0	0	0	0	0	0
Vmn2r1	15	9	6	2	2	1
4933413J09Rik	47	40	18	20	15	6
Gnao1	11902	10330	8726	5364	6815	5674
Sfn	113	99	98	92	108	108
Tank	2726	2609	2466	2669	2484	2954
Rap1gap	2185	2091	2355	1761	2280	3127
Tmem35	0	3	0	0	0	0
Tmem37	195	153	109	128	222	246
Tmem33	5527	5552	5129	5595	4977	5279
AV051173	30	26	14	6	11	21
Cnep1r1	4468	4123	3853	3626	4091	4008
Sf1	22498	22202	18060	16510	11300	14465
Dok2	19	26	19	17	10	14
Dok3	35	52	23	22	43	39
Dok1	2401	2018	2010	1871	2155	1802
Dok6	0	0	0	0	0	0
Dok7	7	23	5	10	7	1
Dok4	687	503	566	285	580	369
Dok5	0	0	0	0	0	4
F2rl3	4	6	7	2	4	7
F2rl2	3	2	4	14	13	8
F2rl1	0	0	0	0	0	0
Rom1	340	308	352	574	603	830
Melk	6590	6821	3161	1580	2689	4803
Cabs1	0	0	0	0	0	0
Rims4	0	0	0	0	0	0
Rims1	0	0	0	0	0	0
Rims2	0	2	0	0	2	0
Rims3	2	0	0	0	0	0
Igbp1	4106	4347	4473	5444	5764	4790
Pcsk2os2	0	0	0	0	0	0
Olfr1333	0	0	0	0	0	0
Rangap1	10230	10299	6771	4930	6039	9698
Cytip	0	0	0	0	0	0
Ddhd1	1717	1703	1405	1269	1183	1011
Ddhd2	5907	5022	5553	4235	4499	3696
Pdzd11	2743	2803	2643	3229	3227	3575
Mir3057	17	13	6	16	4	5
Mir3059	0	0	0	0	0	0
Mir3058	29	25	17	6	12	10
Gpc1	56441	79239	48437	130279	49363	126279
Cdk11b	4239	3949	3804	3882	3270	3443
Slc25a1	7100	5889	5352	4057	4925	4488
Olfr484	0	0	0	0	0	0
Olfr485	0	0	0	0	0	0
Wisp2	7357	5933	6496	6844	11966	7644
Wisp3	80	91	34	19	39	53
Wisp1	10039	10613	11355	13714	8871	15405
Olfr486	0	0	0	0	0	0
Krt222	2	10	9	39	17	33
Slc25a4	34541	33133	29998	30479	32311	31979
Gcgr	2	1	0	0	0	0
F12	0	0	0	0	0	0
Foxp3	68	76	41	24	33	41
F10	0	0	1	4	0	4
F11	0	0	0	0	0	0
Stk38l	1700	1879	1381	1357	1009	1178
9430020K01Rik	10912	8272	8739	4947	6589	4657
Cacng3	0	0	0	0	0	0
Gm2848	0	1	0	0	0	0
Pxt1	1	2	1	0	0	0
Ifitm3	13862	10118	7545	4338	7765	3399
Ifitm2	8299	7383	8143	6926	9864	7721
Ifitm1	780	612	493	463	871	830
Ifitm7	0	2	0	0	0	0
Ifitm6	63	39	57	29	90	30
Ifitm5	72	316	320	4130	1011	9196
Scd2	231325	228883	164187	162213	93438	118518
Scd3	5	8	0	4	1	4
Scd1	33067	28926	21087	15706	9672	16015
Scd4	377	390	252	197	239	247
1700015G11Rik	0	0	0	2	0	0
BC052040	1875	1874	1465	1249	1176	1202
Dcp1b	316	462	427	584	439	418
Dcp1a	3111	3223	2690	2426	2096	1833
Tigd4	4	9	5	6	9	4
Micalcl	32	31	24	24	10	19
9930021J03Rik	6396	6279	5023	4297	3751	4013
2610206C17Rik	58	56	53	59	36	38
Tnp2	5	3	4	4	0	0
Tnp1	0	0	0	0	0	0
Oas1h	0	0	0	0	0	0
Tnfsf9	0	0	2	8	4	5
Tnfsf8	0	0	0	0	0	0
Nr1h2	3973	3798	3807	3967	3377	3457
Oas1a	19	30	6	8	12	12
Lyar	4535	4680	3027	2822	3043	3890
Oas1c	40	84	55	37	90	24
Oas1b	68	72	48	23	55	8
Oas1e	0	0	0	0	0	0
Oas1d	0	0	0	0	0	0
Oas1g	1	3	1	2	0	0
Oas1f	0	4	0	2	0	2
Synj2bp	1980	2019	1979	1858	2197	2257
Hspa4l	722	1283	509	921	341	794
1700015E13Rik	0	2	0	0	0	0
Ptp4a1	595	631	669	822	529	619
Ptp4a3	3172	4092	3572	4381	2579	3523
Ptp4a2	9697	9399	10130	10863	8728	8883
Snord123	38	49	66	111	62	76
Igf2bp3	6454	7090	4618	4390	3245	2603
Igf2bp2	1593	2342	1083	2347	857	1775
Klra9	0	0	0	0	0	0
Klra8	0	0	0	0	0	0
Klra7	0	0	0	0	0	0
Klra6	0	0	0	0	0	0
Klra5	0	0	0	0	0	0
Klra4	0	0	0	0	0	0
Klra3	0	0	0	0	0	0
Klra2	2	2	0	2	0	1
Klra1	0	0	2	0	0	0
BC051537	0	0	0	0	0	0
4930528P14Rik	0	1	0	0	1	0
Mir5046	0	0	0	0	0	0
Zfp553	1130	1122	1181	937	961	840
Olfr1208	0	0	0	0	0	0
Olfr1209	0	0	0	0	0	0
Olfr1200	0	0	0	0	0	0
Olfr1201	0	0	0	0	0	0
Olfr1202	0	0	0	0	0	0
Olfr1204	0	0	0	0	0	0
Olfr1205	0	0	0	0	0	0
Olfr1206	0	0	0	0	0	0
Neurl2	230	166	219	388	457	513
Neurl3	13	19	11	6	22	13
Neurl4	4358	4030	3731	3602	3002	2730
Efcc1	2	0	0	3	2	6
Nus1	10118	9740	8403	8522	6056	6717
Zfp672	2403	2393	2265	2184	2322	2334
Zfp677	396	499	432	412	562	465
2610100L16Rik	0	0	0	0	0	0
Polr1a	11935	11318	9761	9330	7191	8428
Polr1b	4275	4370	3849	3471	2788	3092
Polr1c	4722	4549	4901	4825	4421	3845
Polr1d	3182	3208	3104	3291	3338	3564
Polr1e	2223	2335	1904	2159	1678	2017
Sox21	0	0	0	0	0	0
Tnfsfm13	0	0	0	1	1	0
Qrich2	9	13	7	3	15	2
Qrich1	9437	8934	8108	7006	5421	5592
Vnn1	23	65	14	72	11	14
Olfr50	0	0	0	0	0	0
Olfr51	0	0	0	0	0	0
Olfr52	0	0	0	0	0	0
Olfr53	0	0	0	0	0	0
Olfr54	0	0	0	0	0	0
Olfr55	0	0	0	0	0	0
Olfr56	98	36	60	18	61	20
Olfr57	0	0	0	0	1	0
Olfr58	0	0	0	0	0	0
Olfr59	0	0	0	0	0	0
Ldoc1l	0	0	0	0	0	0
Oaz2	1300	1302	1569	1456	1930	1606
Oaz3	0	8	4	4	7	3
Oaz1	9	10	4	6	14	12
Magel2	0	0	0	0	0	0
Smpdl3b	1426	2090	1659	2940	1526	2964
Smpdl3a	318	274	491	568	860	828
Ctdnep1	5265	4924	4848	4343	3281	3374
Ly6f	108	25	41	7	32	10
A3galt2	26	32	14	18	10	10
Ly6e	5272	4856	4379	3497	4429	3773
4930404A05Rik	0	0	0	0	0	0
Mir7656	0	1	1	1	0	0
Dcn	33826	33079	47214	26252	58216	35955
4930533B01Rik	46	42	41	25	34	21
Gm10516	351	379	294	440	429	376
Onecut3	22	38	7	24	12	4
Onecut2	1711	1533	1584	1250	1400	1063
Onecut1	0	0	0	0	0	0
Dcc	0	0	0	0	0	0
Paics	10899	10417	9432	7645	12013	12382
Mmachc	882	1015	861	1052	1017	1102
Dcx	0	0	2	2	0	0
Gnat1	0	0	0	0	0	0
2810004N23Rik	2974	3044	2555	3048	2594	2949
Dct	0	0	0	0	0	0
Gnat2	143	153	151	281	215	251
Gm17252	0	0	0	1	0	0
Adgrf1	115	177	58	29	27	4
Adgrf2	13	15	5	7	4	7
Adgrf3	10	6	3	5	0	1
Adgrf4	10	6	4	10	2	6
Adgrf5	771	1057	1090	1764	1601	2906
Fmr1	9704	9325	7585	6446	6599	7376
Uri1	3317	3586	3199	4149	2622	2768
Zfp780b	708	779	760	698	718	690
Gm3428	0	0	0	0	0	0
Celf5	3035	2618	2168	1336	1959	1356
Celf4	250	215	178	153	191	132
Celf3	135	131	63	41	101	84
Celf2	605	522	403	253	368	233
Celf1	21455	19915	17347	14404	13185	14660
Kras	10598	10453	7629	8389	6625	8453
Mir208a	0	0	0	0	0	0
Mir208b	0	0	0	0	0	0
Rhpn1	3	14	0	4	4	3
Rhpn2	157	421	160	825	171	1118
Clca4b	0	0	0	0	0	0
Clca4a	7	6	3	4	0	9
Mettl7b	2	2	0	2	2	0
Gm16702	33	38	16	15	11	6
Gm16701	0	0	0	0	0	0
Ralgapa1	7691	8380	6547	6556	4888	4912
Ralgapa2	1137	1577	980	1149	725	878
Olfr668	0	0	0	0	0	0
Iqcf6	0	0	0	0	0	0
Aes	28011	23495	24231	17278	26312	26230
Rps3a1	2502	2482	2697	3150	3748	3133
Fam131a	1261	1160	1711	1687	1344	1249
Olfr661	0	0	0	0	0	0
Olfr663	0	0	0	0	0	0
Olfr665	0	0	0	0	0	0
Olfr666	0	0	0	0	0	0
Olfr667	0	0	0	0	0	0
Rasgrp1	22	35	44	43	44	47
Arr3	3	0	3	3	4	4
Dtwd2	478	438	462	410	336	329
Dtwd1	942	919	817	792	970	802
4930483J18Rik	4	2	0	2	4	2
Sidt1	2	6	4	0	4	9
Sidt2	9930	8920	10177	8734	7711	7491
Gm14288	0	0	0	0	0	0
Tdo2	5	4	1	3	4	8
Kifap3	12358	13083	11682	8666	12342	8976
Bank1	0	0	2	0	0	0
4933432K03Rik	0	0	0	0	0	0
Ubd	0	0	0	0	0	0
Ubb	53	43	31	51	33	40
Ubc	4696	4534	3501	3486	2927	2951
Aqp6	3	2	0	2	0	2
Enox1	872	1117	1033	1222	851	839
Aqp4	0	0	0	0	0	0
Aqp5	47	26	72	23	95	22
Aqp2	5	7	116	130	883	313
Aqp3	0	2	0	4	0	0
Aqp1	17156	21886	19414	25604	24668	33576
Aqp8	0	0	0	0	0	0
Aqp9	0	2	0	3	0	0
Olfr982	0	0	0	0	0	0
Tax1bp1	20667	21147	19648	21602	17642	17311
Tax1bp3	262	235	286	290	359	299
Olfr987	0	0	0	0	0	0
Cox6a1	6623	7023	6217	6929	6657	6995
Cox6a2	17	35	88	788	44	86
Ahctf1	16123	15821	11353	10188	9705	11823
Pinc	4	6	2	3	0	2
Tysnd1	2430	2563	2581	2872	2672	2999
8430419L09Rik	2910	3636	2819	3536	2335	3392
Tmem255b	4	2	5	3	7	1
Neto1	0	0	0	0	0	0
Neto2	0	0	2	0	0	2
Mir92-1	0	0	0	0	0	0
Mir92-2	0	0	0	0	0	0
Olfr1346	0	0	0	0	0	0
Gm19557	109	137	121	84	110	121
Stk26	0	0	0	0	0	0
Stk25	10691	9555	10815	9115	10385	8304
Stk24	4193	3854	3873	3971	3267	3461
Gm14137	84	91	107	282	133	455
Gm14139	165	178	164	155	168	154
Dda1	3713	3956	3506	3700	3038	3880
1700069P05Rik	0	0	0	0	0	0
Gm15663	0	0	0	0	0	0
4930419G24Rik	0	0	0	0	0	0
Manf	5681	6221	5321	6153	4209	5807
Pin1	2969	3063	2693	2547	2885	3048
Xirp1	0	0	0	0	0	0
Pin4	12	21	17	13	31	28
Rpl35a	213	193	192	196	232	213
BC030499	30	41	21	35	18	14
2310030G06Rik	45	43	45	158	92	166
Ppp2r2d	3158	3086	2759	2590	2533	2477
Ppp2r2a	3296	3516	2853	2644	2245	2312
D8Ertd82e	609	792	651	608	362	234
Ppp2r2c	1	4	0	4	0	4
Krtap3-1	0	0	0	0	0	0
F420014N23Rik	241	180	185	161	243	185
1110028F11Rik	22	76	19	25	12	22
Gm11944	93	118	99	104	67	83
Cd59a	10	31	4	31	22	50
Cd59b	3	0	4	4	0	0
Rab44	2	5	17	16	6	18
Rab42	23	28	32	42	62	38
Rab43	5233	4776	6017	5380	5252	4648
4930480G23Rik	0	0	0	1	0	0
Kcnk9	0	0	0	0	0	0
Slc7a14	0	0	0	6	0	3
Slc7a15	0	0	0	0	2	1
Kcnk6	0	10	23	40	43	103
Kcnk7	79	86	22	13	27	23
Slc7a10	0	0	0	0	0	0
Slc7a11	121	322	464	2405	16	47
Slc7a12	3	0	0	3	0	0
Slc7a13	0	0	0	2	2	2
Gm13546	0	0	0	0	0	0
Gm13547	9	10	4	11	8	8
Gm13544	4	4	2	6	4	5
Usp38	4036	3847	3571	3123	2617	2850
Rab4b	2715	2390	2487	2609	2191	2087
Rab4a	692	778	740	711	860	835
Deptor	2158	2402	1562	2805	2086	2154
Nuf2	5647	5410	3169	1352	2207	3526
Usp30	1623	1373	1423	1288	1191	1051
Usp31	4976	5202	3708	3813	2571	4129
Cep97	1577	1518	1585	1222	1646	1469
Cep95	881	874	921	954	905	770
Ssna1	4113	3798	3364	3253	3974	4550
Adam34	0	0	0	0	0	0
Adam32	17	16	6	10	6	4
Golm1	5892	6425	4115	3664	2664	2993
Adam30	0	7	0	0	0	0
Yae1d1	531	527	553	684	698	776
Adam39	0	3	3	0	0	0
Heatr6	4812	4321	3749	3312	2903	2954
Heatr3	7157	7126	6327	5714	5013	5831
Heatr1	6467	6961	5119	5335	3498	4654
1700003P14Rik	0	0	0	0	0	0
Heatr9	9	11	7	5	5	1
Gm21498	0	0	0	0	0	0
Ighmbp2	1878	1832	1667	1383	1446	1295
